file_size iteration peer duration
1 24 7 1039725
1 24 8 1040199
50 24 0 14076746
50 24 1 14079193
50 24 2 14080646
50 24 3 14087082
50 24 4 14097303
50 24 5 14097825
50 24 6 14101300
50 24 7 15083375
50 24 8 15093867
100 24 0 28130259
100 24 1 28132511
100 24 2 28134640
100 24 3 28135270
100 24 4 28153132
100 24 5 28343444
100 24 6 29133974
100 24 7 29143281
100 24 8 29143782
1 25 0 37927
1 25 1 42889
1 25 2 1027756
1 25 3 1027776
1 25 4 1028131
1 25 5 1030968
1 25 6 1032241
1 25 7 1034489
1 25 8 1041724
50 25 0 14074292
50 25 1 14087410
50 25 2 14089443
50 25 3 14091179
50 25 4 14087306
50 25 5 14098157
50 25 6 14106334
50 25 7 14106773
50 25 8 14109700
100 25 0 28115589
100 25 1 28124017
100 25 2 28124174
100 25 3 28141818
100 25 4 28151887
100 25 5 29130733
100 25 6 29135722
100 25 7 29142639
100 25 8 29150749
1 26 0 39438
1 26 1 1032345
1 26 2 1032627
1 26 3 1033868
1 26 4 1033667
1 26 5 1035158
1 26 6 1035321
1 26 7 1038067
1 26 8 1038549
50 26 0 14089894
50 26 1 14093120
50 26 2 14097135
50 26 3 14104709
50 26 4 14111441
50 26 5 14111413
50 26 6 14113705
50 26 7 14113535
50 26 8 15107387
100 26 0 28165517
100 26 1 28166030
100 26 2 28169263
100 26 3 28177217
100 26 4 28183135
100 26 5 28184728
100 26 6 28184596
100 26 7 28197951
100 26 8 28427551
1 27 0 39210
1 27 1 41377
1 27 2 1026747
1 27 3 1028118
1 27 4 1028074
1 27 5 1029566
1 27 6 1030694
1 27 7 1031713
1 27 8 1035524
50 27 0 14062824
50 27 1 14064061
50 27 2 14068174
50 27 3 14070862
50 27 4 14070429
50 27 5 14076686
50 27 6 14070211
50 27 7 14070774
50 27 8 14087128
100 27 0 28146219
100 27 1 29147258
100 27 2 29153854
100 27 3 29159666
100 27 4 29161309
100 27 5 29168805
100 27 6 29172996
100 27 7 29174991
100 27 8 29176118
1 28 0 38321
1 28 1 37780
1 28 2 40416
1 28 3 41151
1 28 4 41876
1 28 5 45506
1 28 6 45168
1 28 7 45063
1 28 8 47500
50 28 0 14062225
50 28 1 14068829
50 28 2 14069413
50 28 3 14073422
50 28 4 14079331
50 28 5 14086707
50 28 6 14089161
50 28 7 14090601
50 28 8 15086822
100 28 0 28152254
100 28 1 28154318
100 28 2 28154804
100 28 3 28161913
100 28 4 28177109
100 28 5 28180351
100 28 6 28182245
100 28 7 28186818
100 28 8 29161247
1 29 0 37977
1 29 1 1039467
1 29 2 1039801
1 29 3 1040523
1 29 4 1040774
1 29 5 1041819
1 29 6 1043760
1 29 7 1044333
1 29 8 1046784
50 29 0 14067946
50 29 1 14070541
50 29 2 14071125
50 29 3 14077502
50 29 4 14082108
50 29 5 14086373
50 29 6 14087469
50 29 7 14089721
50 29 8 14093142
100 29 0 28137538
100 29 1 28140032
100 29 2 28153957
100 29 3 28158096
100 29 4 28163332
100 29 5 28164120
100 29 6 28169985
100 29 7 28177751
100 29 8 28181157
1 30 0 34549
1 30 1 1032928
1 30 2 1034675
1 30 3 1038800
1 30 4 1038959
1 30 5 1044993
1 30 6 1045330
1 30 7 1042586
1 30 8 1049021
50 30 0 14076290
50 30 1 14085907
50 30 2 14087181
50 30 3 14088478
50 30 4 14090812
50 30 5 14091851
50 30 6 14095720
50 30 7 14099039
50 30 8 14122591
100 30 0 28141105
100 30 1 28143895
100 30 2 28147490
100 30 3 28151652
100 30 4 28155941
100 30 5 28156009
100 30 6 28167990
100 30 7 28355397
100 30 8 29146978
1 31 0 41627
1 31 1 39107
1 31 2 39602
1 31 3 44402
1 31 4 44983
1 31 5 1029649
1 31 6 1029950
1 31 7 1030073
1 31 8 1030429
50 31 0 14073173
50 31 1 14073980
50 31 2 14085724
50 31 3 14088875
50 31 4 14101946
50 31 5 14108389
50 31 6 15088793
50 31 7 15093351
50 31 8 15097362
100 31 0 27127099
100 31 1 28138696
100 31 2 28152670
100 31 3 28153670
100 31 4 28158665
100 31 5 28165774
100 31 6 28169556
100 31 7 28175107
100 31 8 28178021
1 32 0 38219
1 32 1 1030601
1 32 2 1033745
1 32 3 1034651
1 32 4 1035167
1 32 5 1037105
1 32 6 1037950
1 32 7 1038163
1 32 8 1038892
50 32 0 14077487
50 32 1 14081560
50 32 2 14084182
50 32 3 14087057
50 32 4 14090586
50 32 5 14101127
50 32 6 14105120
50 32 7 14113701
50 32 8 14130480
100 32 0 28108466
100 32 1 28108901
100 32 2 28109813
100 32 3 28120262
100 32 4 28120381
100 32 5 28129722
100 32 6 28142105
100 32 7 28158463
100 32 8 29126183
1 33 0 37973
1 33 1 1023801
1 33 2 1040067
1 33 3 1041103
1 33 4 1041152
1 33 5 1043220
1 33 6 1047182
1 33 7 1047814
1 33 8 1048952
50 33 0 14081230
50 33 1 14083835
50 33 2 14088842
50 33 3 14089292
50 33 4 14091140
50 33 5 14094116
50 33 6 14102653
50 33 7 14103637
50 33 8 14105008
100 33 0 28119615
100 33 1 28125975
100 33 2 28125956
100 33 3 28134706
100 33 4 28155242
100 33 5 29127147
100 33 6 29143366
100 33 7 29146056
100 33 8 29146693
1 34 0 38415
1 34 1 38182
1 34 2 37849
1 34 3 38664
1 34 4 39397
1 34 5 40475
1 34 6 42287
1 34 7 44963
1 34 8 45012
50 34 0 14064633
50 34 1 14073625
50 34 2 14096777
50 34 3 14101508
50 34 4 14287086
50 34 5 15094325
50 34 6 15103270
50 34 7 15113603
50 34 8 15117254
100 34 0 28154339
100 34 1 28158497
100 34 2 28163263
100 34 3 28165674
100 34 4 28170532
100 34 5 28174980
100 34 6 28176505
100 34 7 28396286
100 34 8 29180184
1 35 0 39454
1 35 1 38760
1 35 2 39064
1 35 3 42067
1 35 4 1026124
1 35 5 1032511
1 35 6 1033679
1 35 7 1034639
1 35 8 1038944
50 35 0 14076559
50 35 1 14083599
50 35 2 14085800
50 35 3 14095671
50 35 4 14106570
50 35 5 14106883
50 35 6 14107972
50 35 7 14108248
50 35 8 14109016
100 35 0 28136820
100 35 1 28136881
100 35 2 28137015
100 35 3 28138442
100 35 4 28140999
100 35 5 28147603
100 35 6 28157331
100 35 7 28175895
100 35 8 28183973
1 36 0 39150
1 36 1 37664
1 36 2 38641
1 36 3 42707
1 36 4 41324
1 36 5 41754
1 36 6 43610
1 36 7 44724
1 36 8 50331
50 36 0 14064645
50 36 1 14066578
50 36 2 14077896
50 36 3 14079770
50 36 4 14080356
50 36 5 14082364
50 36 6 14083332
50 36 7 14083783
50 36 8 14091570
100 36 0 28127171
100 36 1 28132576
100 36 2 28130404
100 36 3 28146856
100 36 4 28154839
100 36 5 28161537
100 36 6 28162452
100 36 7 28171049
100 36 8 29157431
1 37 0 32169
1 37 1 40350
1 37 2 39944
1 37 3 42913
1 37 4 41452
1 37 5 41952
1 37 6 45567
1 37 7 49841
1 37 8 50207
50 37 0 14062275
50 37 1 14073331
50 37 2 14078098
50 37 3 14079197
50 37 4 14079758
50 37 5 14085032
50 37 6 14087315
50 37 7 14088068
50 37 8 14090627
100 37 0 28129809
100 37 1 28132659
100 37 2 28132727
100 37 3 28132878
100 37 4 28137016
